Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s), Capacity (MW) ,Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
2024-05-22,Argentina,Atucha nuclear power plant,1,,Unit IV (Phase 3),362,operating,pressurized heavy water reactor,PHWR KWU,1974,,,,1968-06-01,1974-01-13,1974-03-19,1974-06-24,,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,340,319,1179,-33.96701,-59.2095,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500166,G100000500502,https://www.gem.wiki/Atucha_nuclear_power_plant
2024-05-22,Argentina,Atucha nuclear power plant,2,,Unit IV (Phase 3),745,operating,pressurized heavy water reactor,PHWR KWU,2016,,,,1981-07-13,2014-06-02,2014-06-24,2016-05-25,,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,693,692,2160,-33.9672,-59.2073,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500166,G100000500382,https://www.gem.wiki/Atucha_nuclear_power_plant
2024-05-22,Argentina,Atucha nuclear power plant,3,,Unit IV (Phase 3),1150,pre-construction,pressurized water reactor,Hualong One,2029,,,,,,,2029,,China National Nuclear CORP,中国核工业集团有限公司,Nucleoelectrica Argentina SA,,,,,-33.9672,-59.2075,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500166,G100000500646,https://www.gem.wiki/Atucha_nuclear_power_plant
2024-05-22,Argentina,CAREM nuclear power plant,--,Central Argentina de Elementos Modulares,CAREM25,29,mothballed,pressurized water reactor,CAREM Prototype (Integrated-PWR),,,,,2015-08-25,,,,,Comision Nacional De Energia Atomica,,Comision Nacional De Energia Atomica,,25,25,100,-33.9678,-59.21301,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500252,G100000500600,https://www.gem.wiki/CAREM_nuclear_power_plant
2024-05-22,Argentina,Embalse nuclear power plant,--,,,656,operating,pressurized heavy water reactor,CANDU 6,1984,,,,1974-04-01,1983-03-13,1983-04-25,1984-01-20,,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,608,608,2064,-32.2316,-64.4422,exact,,Pedanía Cañada de Álvarez,Departamento Calamuchita,Córdoba,Latin America and the Caribbean,Americas,L100000500169,G100000500385,https://www.gem.wiki/Embalse_nuclear_power_plant
2024-05-20,Armenia,Armenian nuclear power plant,1,Հայկական ատոմային էլեկտրակայան,Metsamor,408,retired,pressurized water reactor,VVER V-270,1977,1989,N,,1969-07-01,1976-12-15,1976-12-22,1977-10-06,1989-02-25,Ministry Of Territorial Administration And Infrastructure,,Closed Joint Stock Company Armenian NPP,,376,376,1375,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500481,https://www.gem.wiki/Armenian_nuclear_power_plant
2024-05-20,Armenia,Armenian nuclear power plant,2,Հայկական ատոմային էլեկտրակայան,Metsamor,448,operating,pressurized water reactor,VVER V-270,1980,2026,Y,,1975-07-01,1980-01-01,1980-01-05,1980-05-03,2026,Ministry Of Territorial Administration And Infrastructure,,Closed Joint Stock Company Armenian NPP,,416,375,1375,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500482,https://www.gem.wiki/Armenian_nuclear_power_plant
2024-05-20,Armenia,Armenian nuclear power plant,3,Հայկական ատոմային էլեկտրակայան,Metsamor,1200,announced,unknown,unknown,,,,,,,,,,,,,,,,,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500714,https://www.gem.wiki/Armenian_nuclear_power_plant
2024-05-08,Austria,Zwentendorf nuclear power plant,1,,,723,cancelled,boiling water reactor,unknown,,,,1978,1971-05-01,,,,,,,Tullnerfeld GMBH,,,692,,48.3546,15.88501,exact,,Bezirk Tulln,,Lower Austria,Western Europe,Europe,L100000500381,G100000501048,https://www.gem.wiki/Zwentendorf_nuclear_power_plant
2024-05-14,Azerbaijan,Navai New nuclear power plant,1,,,1500,cancelled,unknown,unknown,,,,2013,,,,,,,,,,,,,40.0161,49.1355,approximate,Navahi,,,Hajigabul District,Western Asia,Asia,L100000500382,G100000501049,https://www.gem.wiki/Navai_New_nuclear_power_plant
2024-05-14,Azerbaijan,Navai Original nuclear power plant,1,,,1000,cancelled,unknown,unknown,,,,1986,,,,,,,,,,,,,40.0161,49.1355,approximate,Navahi,,,Hajigabul District,Western Asia,Asia,L100000500383,G100000501050,https://www.gem.wiki/Navai_Original_nuclear_power_plant
2024-05-14,Bangladesh,Rooppur nuclear power plant,1,,,1200,construction,pressurized water reactor,VVER V-523,2024,,,,2017-11-30,,,2024,,Bangladesh Atomic Energy Commission,,Nuclear Power Plant Company Bangladesh LTD,,1080,1080,3200,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L100000500091,G100000500177,https://www.gem.wiki/Rooppur_nuclear_power_plant
2024-05-14,Bangladesh,Rooppur nuclear power plant,2,,,1200,construction,pressurized water reactor,VVER V-523,2023,,,,2018-07-14,,,2023,,Bangladesh Atomic Energy Commission,,Nuclear Power Plant Company Bangladesh LTD,,1080,1080,3200,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L100000500091,G100000500178,https://www.gem.wiki/Rooppur_nuclear_power_plant
2024-05-08,Belarus,Astravets nuclear power plant,1,,Belarusian; Ostrovets,1194,operating,pressurized water reactor,VVER V-491,2021,,,,2013-11-08,2020-10-11,2020-11-03,2021-06-10,,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,1110,1110,3200,54.7598,26.0937,exact,Varnianski sieĺski Saviet,Astravyets District,,Hrodna Region,Eastern Europe,Europe,L100000500085,G100000500159,https://www.gem.wiki/Astravets_nuclear_power_plant
2024-05-08,Belarus,Astravets nuclear power plant,2,,Belarusian; Ostrovets,1194,operating,pressurized water reactor,VVER V-491,2023,,,,2014-04-27,2023-03-25,2023-05-13,2023-11-01,,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,1110,1110,3200,54.7598,26.0937,exact,Varnianski sieĺski Saviet,Astravyets District,,Hrodna Region,Eastern Europe,Europe,L100000500085,G100000500179,https://www.gem.wiki/Astravets_nuclear_power_plant
2024-05-08,Belarus,Minsk nuclear power plant,1,,,1000,cancelled,pressurized water reactor,VVER V-1000,,,,1988,1983,,,,,,,,,,,,53.7208,28.0445,approximate,Minsk,,,Minsk Region,Eastern Europe,Europe,L100000500384,G100000501051,https://www.gem.wiki/Minsk_nuclear_power_plant
2024-05-08,Belarus,Minsk nuclear power plant,2,,,1000,cancelled,pressurized water reactor,VVER V-1000,,,,1988,1983,,,,,,,,,,,,53.7208,28.0445,approximate,Minsk,,,Minsk Region,Eastern Europe,Europe,L100000500384,G100000501052,https://www.gem.wiki/Minsk_nuclear_power_plant
2024-05-08,Belgium,BR3 nuclear power plant,3,,Belgian Reactor-3,12,retired,pressurized water reactor,Prototype,1962,1987,N,,1957-11-01,1962-08-29,1962-10-10,1962-10-10,1987-06-30,Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie,,Centre D'Etude De L'Energie Nucleaire; Studiecentrum Voor Kernenergie,,10,11,41,51.2169,5.0998,exact,,Turnhout,,Antwerp,Western Europe,Europe,L100000500264,G100000500616,https://www.gem.wiki/BR3_nuclear_power_plant
2024-05-08,Belgium,Doel nuclear power plant,1,,,454,operating,pressurized water reactor,WH 2LP,1975,,,,1969-07-01,1974-07-18,1974-08-28,1975-02-15,,Indivision Doel,,Engie Electrabel; EDF Belgium; EDF Luminus,,445,392,1311,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500499,https://www.gem.wiki/Doel_nuclear_power_plant
2024-05-08,Belgium,Doel nuclear power plant,2,,,454,operating,pressurized water reactor,WH 2LP,1975,,,,1971-09-01,1975-08-04,1975-08-21,1975-12-01,,Indivision Doel,,Engie Electrabel; EDF Belgium; EDF Luminus,,445,445,1311,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500500,https://www.gem.wiki/Doel_nuclear_power_plant
2024-05-08,Belgium,Doel nuclear power plant,3,,,1056,retired,pressurized water reactor,WH 3LP,1982,2022,N,,1975-01-01,1982-06-14,1982-06-23,1982-10-01,2022-09-23,Societes Reunies D'Energie Du Bassin De L'Escaut SA,,Engie Electrabel; EDF Belgium; EDF Luminus,,1006,890,3054,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500197,https://www.gem.wiki/Doel_nuclear_power_plant
2024-05-08,Belgium,Doel nuclear power plant,4,,,1090,operating,pressurized water reactor,WH 3LP,1985,,,,1978-12-01,1985-03-31,1985-04-08,1985-07-01,,Societes Reunies D'Energie Du Bassin De L'Escaut SA,,Engie Electrabel; EDF Belgium; EDF Luminus,,1038,1000,2988,51.3254,4.2597,exact,,Sint-Niklaas,,East Flanders,Western Europe,Europe,L100000500101,G100000500234,https://www.gem.wiki/Doel_nuclear_power_plant
2024-05-08,Belgium,Tihange nuclear power plant,1,,,1009,operating,pressurized water reactor,Framatome 3 loops reactor,1975,,,,1970-06-01,1975-02-21,1975-03-07,1975-10-01,,Engie Electrabel,,Engie Electrabel,,962,870,2873,50.5334,5.2714,exact,,Huy,,Liège,Western Europe,Europe,L100000500099,G100000500257,https://www.gem.wiki/Tihange_nuclear_power_plant
2024-05-08,Belgium,Tihange nuclear power plant,2,,,1055,retired,pressurized water reactor,WH 3LP,1983,2023,N,,1976-04-01,1982-10-05,1982-10-13,1983-06-01,2023-02-01,Engie Electrabel,,Engie Electrabel,,1008,900,3064,50.5334,5.2714,exact,,Huy,,Liège,Western Europe,Europe,L100000500099,G100000500194,https://www.gem.wiki/Tihange_nuclear_power_plant
2024-05-08,Belgium,Tihange nuclear power plant,3,,,1089,operating,pressurized water reactor,WH 3LP,1985,,,,1978-11-01,1985-06-05,1985-06-15,1985-09-01,,Engie Electrabel,,Engie Electrabel,,1038,1020,3000,50.5334,5.2714,exact,,Huy,,Liège,Western Europe,Europe,L100000500099,G100000500205,https://www.gem.wiki/Tihange_nuclear_power_plant
2024-05-14,Brazil,Angra nuclear power plant,1,,,640,operating,pressurized water reactor,WH 2LP,1985,,,,1971-05-01,1982-03-13,1982-04-01,1985-01-01,,Eletrobras Eletronuclear SA,,Eletrobras Eletronuclear SA,,609,609,1882,-23.0069,-44.4585,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500402,https://www.gem.wiki/Angra_nuclear_power_plant
2024-05-14,Brazil,Angra nuclear power plant,2,,,1350,operating,pressurized water reactor,PRE KONVOI,2001,,,,1976-01-01,2000-07-14,2000-07-21,2001-02-01,,Eletrobras Eletronuclear SA,,Eletrobras Eletronuclear SA,,1275,1245,3764,-23.0077,-44.4598,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500071,https://www.gem.wiki/Angra_nuclear_power_plant
2024-05-14,Brazil,Angra nuclear power plant,3,,,1405,construction,pressurized water reactor,PRE KONVOI,2028,,,,2010-05-30,,,2028,,Eletrobras Eletronuclear SA,,Eletrobras Eletronuclear SA,,1340,1340,3900,-23.0091,-44.47201,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500042,https://www.gem.wiki/Angra_nuclear_power_plant
2024-05-08,Bulgaria,Belene nuclear power plant,1,,,1000,cancelled,unknown,unknown,,,,2023,,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500295,G100000500712,https://www.gem.wiki/Belene_nuclear_power_plant
2024-05-08,Bulgaria,Belene nuclear power plant,2,,,1000,cancelled,unknown,unknown,,,,2023,,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500295,G100000500713,https://www.gem.wiki/Belene_nuclear_power_plant
2024-05-08,Bulgaria,Belene Original nuclear power plant,1,,,1000,cancelled,pressurized water reactor,VVER V-320,,,,1991,1987,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500385,G100000501053,https://www.gem.wiki/Belene_Original_nuclear_power_plant
2024-05-08,Bulgaria,Belene Original nuclear power plant,2,,,1000,cancelled,pressurized water reactor,VVER V-320,,,,1991,,,,,,,,,,,,,43.6294,25.1867,exact,,Pleven,,,Eastern Europe,Europe,L100000500385,G100000501054,https://www.gem.wiki/Belene_Original_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,1,,,440,retired,pressurized water reactor,VVER V-230,1974,2002,N,,1970-04-01,1974-06-30,1974-07-24,1974-10-28,2002-12-31,DP RAO (State Enterprise “Radio Active Waste”),,,,408,408,1375,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500492,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,2,,,440,retired,pressurized water reactor,VVER V-230,1975,2002,N,,1970-04-01,1975-08-22,1975-08-24,1975-11-10,2002-12-31,DP RAO (State Enterprise “Radio Active Waste”),,,,408,408,1375,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500493,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,3,,,440,retired,pressurized water reactor,VVER V-230,1981,2006,N,,1973-10-01,1980-12-04,1980-12-17,1981-01-20,2006-12-31,DP RAO (State Enterprise “Radio Active Waste”),,,,408,408,1375,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500494,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,4,,,440,retired,pressurized water reactor,VVER V-230,1982,2006,N,,1973-10-01,1982-04-25,1982-05-17,1982-06-20,2006-12-31,DP RAO (State Enterprise “Radio Active Waste”),,,,408,408,1375,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500495,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,5,,,1040,operating,pressurized water reactor,VVER V-320,1988,,,,1980-07-09,1987-11-05,1987-11-29,1988-12-23,,Bulgarian Energy Holding CO,,,,1003,953,3120,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500192,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,6,,,1040,operating,pressurized water reactor,VVER V-320,1993,,,,1982-04-01,1991-05-29,1991-08-02,1993-12-30,,Bulgarian Energy Holding CO,,,,1003,1003,3120,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500191,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,7,,,1000,pre-construction,pressurized water reactor,AP-1000,2033,,,,,,,2033,,,,,,,,,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500717,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-08,Bulgaria,Kozloduy nuclear power plant,8,,,1000,pre-construction,pressurized water reactor,AP-1000,2036,,,,,,,2036,,,,,,,,,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500718,https://www.gem.wiki/Kozloduy_nuclear_power_plant
2024-05-10,Canada,Alberta nuclear power plant,1,,,315,announced,small modular reactor,BWRX-300,2030,,,,,,,2030,,Capital Power Corp; Ontario Power Generation Inc,,,,,,,53.534,-113.489,approximate,,,,,Northern America,Americas,L100001007723,G100001009070,https://www.gem.wiki/Alberta_nuclear_power_plant
2024-06-20,Canada,Alberta nuclear power plant,2,,,315,announced,small modular reactor,BWRX-300,2030,,,,,,,2030,,Capital Power Corp; Ontario Power Generation Inc,,,,,,,53.534,-113.489,approximate,,,,,Northern America,Americas,L100001007723,G100001017672,https://www.gem.wiki/Alberta_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,A1,,,868,operating,pressurized heavy water reactor,CANDU 791,1977,2042,Y,,1971-06-01,1976-12-17,1977-01-14,1977-09-01,2042,Ontario Power Generation,,Bruce Power,,774,732,2620,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500339,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,A2,,,836,operating,pressurized heavy water reactor,CANDU 791,1977,2043,Y,,1970-12-01,1976-07-27,1976-09-04,1977-09-01,2043,Ontario Power Generation,,Bruce Power,,777,732,2620,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500340,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,A3,,,865,operating,pressurized heavy water reactor,CANDU 750A,1978,2064,Y,,1972-07-01,1977-11-28,1977-12-12,1978-02-01,2064,Ontario Power Generation,,Bruce Power,,770,750,2550,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500352,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,A4,,,868,operating,pressurized heavy water reactor,CANDU 750A,1979,2064,Y,,1972-09-01,1978-12-10,1978-12-21,1979-01-18,2064,Ontario Power Generation,,Bruce Power,,769,750,2550,44.3391,-81.5747,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500351,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,B5,,,872,operating,pressurized heavy water reactor,CANDU 750B,1985,2064,Y,,1978-05-31,1984-11-14,1984-12-01,1985-02-28,2064,Ontario Power Generation,,Bruce Power,,817,822,2832,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500258,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,B6,,,891,operating,pressurized heavy water reactor,CANDU 750B,1984,2064,Y,,1978-01-01,1984-05-29,1984-06-26,1984-09-14,2064,Ontario Power Generation,,Bruce Power,,817,822,2690,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500326,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,B7,,,872,operating,pressurized heavy water reactor,CANDU 750B,1986,2064,Y,,1979-05-01,1986-01-07,1986-02-22,1986-04-10,2064,Ontario Power Generation,,Bruce Power,,817,822,2832,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500259,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,B8,,,872,operating,pressurized heavy water reactor,CANDU 750B,1987,2064,Y,,1979-07-30,1987-02-13,1987-03-07,1987-05-20,2064,Ontario Power Generation,,Bruce Power,,817,795,2690,44.319,-81.6027,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000500327,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,C1,,,1000,cancelled,unknown,unknown,,,,2009,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501055,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,C2,,,1000,cancelled,unknown,unknown,,,,2009,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501056,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-08,Canada,Bruce nuclear power plant,C3,,,1000,cancelled,unknown,unknown,,,,2009,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501057,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-09,Canada,Bruce nuclear power plant,C4,,,1000,cancelled,unknown,unknown,,,,2009,,,,,,,,Bruce Power,,,,,44.3092,-81.5895,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500123,G100000501058,https://www.gem.wiki/Bruce_nuclear_power_plant
2024-05-07,Canada,Chalk River nuclear power plant,--,,,5,pre-construction,small modular reactor,unknown,2027,,,,2025,,,2027,,Global First Power Ltd,,Ultra Safe Nuclear CORP; Ontario Power Generation,,,,15,46.05001,-77.3636,exact,,Renfrew County,Eastern Ontario,Ontario,Northern America,Americas,L100000500386,G100000501059,https://www.gem.wiki/Chalk_River_nuclear_power_plant
2024-05-09,Canada,Darlington New nuclear power plant,1,,,300,pre-construction,small modular reactor,BWRX-300,2029,,,,,,,2029,,Ontario Power Generation,,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000500647,https://www.gem.wiki/Darlington_New_nuclear_power_plant
2024-05-09,Canada,Darlington New nuclear power plant,2,,,300,announced,small modular reactor,BWRX-300,,,,,,,,,,Ontario Power Generation,,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000501060,https://www.gem.wiki/Darlington_New_nuclear_power_plant
2024-05-09,Canada,Darlington New nuclear power plant,3,,,300,announced,small modular reactor,BWRX-300,,,,,,,,,,Ontario Power Generation,,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000501061,https://www.gem.wiki/Darlington_New_nuclear_power_plant
2024-05-09,Canada,Darlington New nuclear power plant,4,,,300,announced,small modular reactor,BWRX-300,,,,,,,,,,Ontario Power Generation,,Ontario Power Generation,,,,,43.8733,-78.7057,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500280,G100000501062,https://www.gem.wiki/Darlington_New_nuclear_power_plant
2024-05-09,Canada,Darlington nuclear power plant,1,,,934,operating,pressurized heavy water reactor,CANDU 850,1992,,,,1982-04-01,1990-10-29,1990-12-19,1992-11-14,,Ontario Power Generation,,Ontario Power Generation,,878,881,2776,43.8697,-78.7239,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500138,G100000500311,https://www.gem.wiki/Darlington_nuclear_power_plant
2024-05-09,Canada,Darlington nuclear power plant,2,,,934,operating,pressurized heavy water reactor,CANDU 850,1990,,,,1981-09-01,1989-11-05,1990-01-15,1990-10-09,,Ontario Power Generation,,Ontario Power Generation,,878,881,2776,43.8697,-78.7239,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500138,G100000500312,https://www.gem.wiki/Darlington_nuclear_power_plant
2024-05-09,Canada,Darlington nuclear power plant,3,,,934,operating,pressurized heavy water reactor,CANDU 850,1993,,,,1984-09-01,1992-11-09,1992-12-07,1993-02-14,,Ontario Power Generation,,Ontario Power Generation,,878,881,2776,43.8697,-78.7239,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500138,G100000500313,https://www.gem.wiki/Darlington_nuclear_power_plant
2024-05-09,Canada,Darlington nuclear power plant,4,,,934,operating,pressurized heavy water reactor,CANDU 850,1993,,,,1985-07-01,1993-03-13,1993-04-17,1993-06-14,,Ontario Power Generation,,Ontario Power Generation,,878,881,2776,43.8697,-78.7239,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500138,G100000500314,https://www.gem.wiki/Darlington_nuclear_power_plant
2024-05-09,Canada,Darlington nuclear power plant,5,,,1200,cancelled,pressurized water reactor,AP-1000,,,,2013,,,,,,Ontario Power Generation,,,,,,,43.8697,-78.7239,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500138,G100000501063,https://www.gem.wiki/Darlington_nuclear_power_plant
2024-05-09,Canada,Darlington nuclear power plant,6,,,1200,cancelled,pressurized water reactor,AP-1000,,,,2013,,,,,,Ontario Power Generation,,,,,,,43.8697,-78.7239,exact,Clarington,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500138,G100000501064,https://www.gem.wiki/Darlington_nuclear_power_plant
2024-05-08,Canada,Douglas Point (AECL) nuclear power plant,--,,,218,retired,pressurized heavy water reactor,CANDU 200,1968,1984,N,,1960-02-01,1966-11-15,1967-01-07,1968-09-26,1984-05-04,Atomic Energy Of Canada LTD,,Ontario Hydro,,206,203,704,44.3265,-81.6006,exact,,Bruce County,Southwestern Ontario,Ontario,Northern America,Americas,L100000500225,G100000500547,https://www.gem.wiki/Douglas_Point_(AECL)_nuclear_power_plant
2024-05-08,Canada,Gentilly nuclear power plant,1,,,266,retired,heavy water light water reactor,HW BLWR 250,1972,1977,N,,1966-09-01,1970-11-12,1971-04-05,1972-05-01,1977-06-01,Canadian Nuclear Laboratories LTD,,Hydro Quebec,,250,250,792,46.3953,-72.3579,exact,,Bécancour (MRC),,Quebec,Northern America,Americas,L100000500167,G100000500542,https://www.gem.wiki/Gentilly_nuclear_power_plant
2024-05-08,Canada,Gentilly nuclear power plant,2,,,675,retired,pressurized heavy water reactor,CANDU 6,1983,2012,N,,1974-04-01,1982-09-11,1982-12-04,1983-10-01,2012-12-28,Hydro Quebec,,Hydro Quebec,,635,645,2156,46.3955,-72.3556,exact,,Bécancour (MRC),,Quebec,Northern America,Americas,L100000500167,G100000500383,https://www.gem.wiki/Gentilly_nuclear_power_plant
2024-05-08,Canada,Nuclear Power Demonstration (NPD) nuclear power plant,--,,Rolphton NPD,25,retired,pressurized heavy water reactor,CANDU,1962,1987,N,,1958-01-01,1962-04-11,1962-06-04,1962-10-01,1987-08-01,AECL,,Ontario Hydro,,22,17,92,46.1867,-77.6578,exact,,Renfrew County,Eastern Ontario,Ontario,Northern America,Americas,L100000500253,G100000500601,https://www.gem.wiki/Nuclear_Power_Demonstration_(NPD)_nuclear_power_plant
2024-05-09,Canada,Pickering nuclear power plant,A1,,,542,operating,pressurized heavy water reactor,CANDU 500A,1971,,,,1966-06-01,1971-02-25,1971-04-04,1971-07-29,,Ontario Power Generation,,Ontario Power Generation,,515,508,1744,43.8107,-79.0689,exact,Pickering,Durham Region,Golden Horseshoe,Ontario,Northern America,Americas,L100000500185,G100000500414,https://www.gem.wiki/Pickering_nuclear_power_plant
