Date last researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel,Status,Conversion/Replacement?,Unit conversion year,Start Year,Retired Year,Hydrogen Capable,Operator(s),Operator Name(s) in Local Language / Script,Owner(s),Owner Name(s) in Local Language / Script,Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL,,
17.7.2024,China,Anhui Guangde power station,1,广德县生活垃圾焚烧发电项目,,7.5,bioenergy: refuse (municipal and industrial wastes),operating,,,2021,,,Guangde Wanneng Environmental Protection Power CO LTD,广德皖能环保电力有限公司,,,30.894179,119.354047,exact,Taozhou,Guangde City,Xuancheng,Anhui,Eastern Asia,Asia,L100001018865,G100001021164,,,https://www.gem.wiki/Anhui_Guangde_power_station,,
10.7.2024,China,Anhui He power station,1,马鞍山市和县静脉产业园生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2022,,,Maanshan Haichuang Environmental Technology CO LTD,马鞍山海创环境科技有限责任公司,Anhui Haichuang Green Energy Environmental Protection Group Co Ltd,安徽海创绿能环保集团股份有限公司,31.772664,118.215548,exact,Xibu,He,Ma'anshan,Anhui,Eastern Asia,Asia,L100001018559,G100001020759,,,https://www.gem.wiki/Anhui_He_power_station,,
18.7.2024,China,Anhui Huaibei (Wangneng) power station,1.Jan,淮北旺能生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2019,,,Huaibei Wangneng Environmental Protection Energy CO LTD,淮北旺能环保能源有限公司,,,33.815953,116.862739,exact,,Lieshan District,Huaibei,Anhui,Eastern Asia,Asia,L100001018944,G100001021275,,,https://www.gem.wiki/Anhui_Huaibei_(Wangneng)_power_station,,
18.7.2024,China,Anhui Huaibei (Wangneng) power station,2.Jan,淮北旺能生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2019,,,Huaibei Wangneng Environmental Protection Energy CO LTD,淮北旺能环保能源有限公司,,,33.815953,116.862739,exact,,Lieshan District,Huaibei,Anhui,Eastern Asia,Asia,L100001018944,G100001021276,,,https://www.gem.wiki/Anhui_Huaibei_(Wangneng)_power_station,,
1.8.2024,China,Anhui Huoshan (Haichuang) power station,1,霍山县生活垃圾焚烧发电项目,,8,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Huoshan Haichuang Environmental Protection Technology CO LTD,霍山海创环保科技有限责任公司,,,31.444771,116.376669,exact,,Huoshan,Lu'an,Anhui,Eastern Asia,Asia,L100001019419,G100001021933,,,https://www.gem.wiki/Anhui_Huoshan_(Haichuang)_power_station,,
17.7.2024,China,Anhui Jieshou City power station,1,界首市生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2019,,,Jieshou Weiming Environmental Protection Energy CO LTD,界首市伟明环保能源有限公司,,,33.298659,115.357714,exact,Xicheng Residential District,Jieshou City,Fuyang,Anhui,Eastern Asia,Asia,L100001018889,G100001021202,,,https://www.gem.wiki/Anhui_Jieshou_City_power_station,,
24.6.2024,China,Anhui Langxi power station,2,安徽郎溪生物质发电项目,,9,"bioenergy: agricultural waste (solids), bioenergy: wood & other biomass (solids)",operating,,,2018,,,Langxi Li'Ang Bio Power Generation,郎溪理昂生物质发电有限公司,Li'Ang Ecology Energy Co Ltd [100%],理昂生态能源股份有限公司,31.0045,119.109,exact,,Langxi,Xuancheng,Anhui,Eastern Asia,Asia,L100000201720,G100001018796,,,https://www.gem.wiki/Anhui_Langxi_power_station,,
15.7.2024,China,Anhui Linquan (Wanneng) power station,1,临泉生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2018,,,Linquan Wanneng Environmental Protection Power CO LTD,临泉皖能环保电力有限公司,,,33.067948,115.314437,exact,Niuzhuang,Linquan,Fuyang,Anhui,Eastern Asia,Asia,L100001018795,G100001021067,,,https://www.gem.wiki/Anhui_Linquan_(Wanneng)_power_station,,
15.7.2024,China,Anhui Linquan (Wanneng) power station,2,临泉生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2022,,,Linquan Wanneng Environmental Protection Power CO LTD,临泉皖能环保电力有限公司,,,33.067948,115.314437,exact,Niuzhuang,Linquan,Fuyang,Anhui,Eastern Asia,Asia,L100001018795,G100001021068,,,https://www.gem.wiki/Anhui_Linquan_(Wanneng)_power_station,,
8.7.2024,China,Anhui Lixin (Wanneng) power station,1,利辛县生活垃圾焚烧发电厂,,10,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Lixin Wanneng Environmental Protection Power CO LTD,利辛皖能环保电力有限公司,,,33.258516,116.06282,exact,Sunji,Lixin,Bozhou,Anhui,Eastern Asia,Asia,L100001018493,G100001020649,,,https://www.gem.wiki/Anhui_Lixin_(Wanneng)_power_station,,
8.7.2024,China,Anhui Lixin (Wanneng) power station,2,利辛县生活垃圾焚烧发电厂,,10,bioenergy: refuse (municipal and industrial wastes),operating,,,2023,,,Lixin Wanneng Environmental Protection Power CO LTD,利辛皖能环保电力有限公司,,,33.258516,116.06282,exact,Sunji,Lixin,Bozhou,Anhui,Eastern Asia,Asia,L100001018493,G100001020653,,,https://www.gem.wiki/Anhui_Lixin_(Wanneng)_power_station,,
16.7.2024,China,Anhui Lu'an (Sanfeng) power station,1,六安市生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2014,,,Lu'an Sanfeng Environmental Protection Power Generation CO LTD,六安三峰环保发电有限公司,,,31.695992,116.512385,exact,Chengnan,Yu'an District,Lu'an,Anhui,Eastern Asia,Asia,L100001018807,G100001021084,,,https://www.gem.wiki/Anhui_Lu'an_(Sanfeng)_power_station,,
16.7.2024,China,Anhui Lu'an (Sanfeng) power station,2,六安市生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Lu'an Sanfeng Environmental Protection Power Generation CO LTD,六安三峰环保发电有限公司,,,31.695992,116.512385,exact,Chengnan,Yu'an District,Lu'an,Anhui,Eastern Asia,Asia,L100001018807,G100001021085,,,https://www.gem.wiki/Anhui_Lu'an_(Sanfeng)_power_station,,
6.8.2024,China,Anhui Mengcheng (Huanmeng) power station,1,蒙城县生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2019,,,Mengcheng Huanmeng Renewable Energy CO LTD,蒙城环蒙再生能源有限公司,,,33.248761,116.503391,exact,Zhuangzhou Residential District,Mengcheng,Bozhou,Anhui,Eastern Asia,Asia,L100001019514,G100001022067,,,https://www.gem.wiki/Anhui_Mengcheng_(Huanmeng)_power_station,,
25.7.2024,China,Anhui Ningguo City (Haichuang) power station,1,宁国市生活垃圾焚烧发电项目,,8,bioenergy: refuse (municipal and industrial wastes),operating,,,2021,,,Ningguo Haichuang Environmental Engineering CO LTD,宁国海创环境工程有限责任公司,,,30.68995,118.885676,exact,Gangkou,Ningguo City,Xuancheng,Anhui,Eastern Asia,Asia,L100001019128,G100001021558,,,https://www.gem.wiki/Anhui_Ningguo_City_(Haichuang)_power_station,,
23.7.2024,China,Anhui Si (Shenneng) power station,1,宿州市泗县生活垃圾焚烧发电厂,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2019,,,SuZhou Sixian Shenneng Environmental Protection CO LTD,宿州市泗县深能环保有限公司,,,33.568715,117.904489,exact,Pingshan,Si,Suzhou,Anhui,Eastern Asia,Asia,L100001019035,G100001021424,,,https://www.gem.wiki/Anhui_Si_(Shenneng)_power_station,,
5.8.2024,China,Anhui Suzhou (Haichuang) power station,1,宿州市埇桥区生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2022,,,Suzhou Haichuang Environmental Energy CO LTD,宿州海创环境能源有限责任公司,,,33.765672,117.189582,exact,Taogou,Yongqiao District,Suzhou,Anhui,Eastern Asia,Asia,L100001019498,G100001022039,,,https://www.gem.wiki/Anhui_Suzhou_(Haichuang)_power_station,,
31.7.2024,China,Anhui Taihe power station,2,安徽阜阳太和县垃圾焚烧发电厂,,6,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Taihe Tianying Environmental Protection Energy CO LTD,太和县天楹环保能源有限公司,,,33.315554,115.591023,exact,Shuangfu,Taihe,Fuyang,Anhui,Eastern Asia,Asia,L100001019317,G100001021809,,,https://www.gem.wiki/Anhui_Taihe_power_station,,
31.7.2024,China,Anhui Taihe power station,1,安徽阜阳太和县垃圾焚烧发电厂,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2017,,,Taihe Tianying Environmental Protection Energy CO LTD,太和县天楹环保能源有限公司,,,33.315554,115.591023,exact,Shuangfu,Taihe,Fuyang,Anhui,Eastern Asia,Asia,L100001019317,G100001021808,,,https://www.gem.wiki/Anhui_Taihe_power_station,,
1.8.2024,China,Anhui Wuhu (Zhongdian) power station,1.Jan,芜湖城南垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2017,,,Wuhu Zhongdian Environmental Protection Power Generation CO LTD,芜湖中电环保发电有限公司,,,31.218725,118.151067,exact,Gao'an Residential District,Yijiang District,Wuhu,Anhui,Eastern Asia,Asia,L100001019376,G100001021884,,,https://www.gem.wiki/Anhui_Wuhu_(Zhongdian)_power_station,,
1.8.2024,China,Anhui Wuhu (Zhongdian) power station,2.Jan,芜湖城南垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2017,,,Wuhu Zhongdian Environmental Protection Power Generation CO LTD,芜湖中电环保发电有限公司,,,31.218725,118.151067,exact,Gao'an Residential District,Yijiang District,Wuhu,Anhui,Eastern Asia,Asia,L100001019376,G100001021885,,,https://www.gem.wiki/Anhui_Wuhu_(Zhongdian)_power_station,,
29.7.2024,China,Anhui Xiao County power station,2.Jan,光大萧县城乡一体化发电项目,,9,bioenergy: refuse (municipal and industrial wastes),operating,,,2017,,,Everbright Urban Rural Renewable Energy (Xiaoxian),光大城乡再生能源（萧县）有限公司,Everbright Green Renewable Energy (Anhui) Holdings Co Ltd [100%],光大绿色环保再生能源(安徽)控股有限公司,34.1056,116.8863,exact,Dingli,Xiao,Suzhou,Anhui,Eastern Asia,Asia,L100000200128,G100001021665,,,https://www.gem.wiki/Anhui_Xiao_County_power_station,,
29.7.2024,China,Anhui Xiao County power station,2,光大萧县城乡一体化发电项目,,9,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Everbright Urban Rural Renewable Energy (Xiaoxian),光大城乡再生能源（萧县）有限公司,Everbright Green Renewable Energy (Anhui) Holdings Co Ltd [100%],光大绿色环保再生能源(安徽)控股有限公司,34.1056,116.8863,exact,Dingli,Xiao,Suzhou,Anhui,Eastern Asia,Asia,L100000200128,G100001021666,,,https://www.gem.wiki/Anhui_Xiao_County_power_station,,
22.7.2024,Bahrain,Askar Waste-to-Energy power station,--,,,25,bioenergy: refuse (municipal and industrial wastes),announced,,,2027,,,,,,,26.05531,50.60238,approximate,,,,,Western Asia,Asia,L100001018976,G100001021325,,,https://www.gem.wiki/Askar_Waste-to-Energy_power_station,,
