Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Africa,Botswana,18.3,,,732.0,,70.0,,,,820.3,0.025649280000000003,,,3.847392,,,0.18396,,,4.057001280000001,BWA
Africa,Mauritius,97.7,39.4,,195.0,,347.0,109.0,,,788.1,0.13693632,0.086286,,1.02492,,0.28645199999999993,0.911916,,,2.44651032,MUS
Africa,Mali,143.6,,,,340.0,254.0,,,,737.6,0.20126976,,,,0.59568,,0.667512,,,1.4644617599999998,MLI
Africa,Mauritania,142.8,130.0,,,,240.0,180.0,,,692.8,0.20014848000000002,0.2847,,,,0.47304,0.63072,,,1.58860848,MRT
Africa,Namibia,214.4,6.0,,120.0,332.0,,,,,672.4,0.30050304000000005,0.01314,,0.63072,0.581664,,,,,1.52602704,NAM
Africa,Republic of the Congo,2.0,,,,120.0,,534.0,,,656.0,0.0028032000000000005,,,,0.21024,1.403352,,,,1.6163952,COG
Africa,Gabon,,,,,160.0,,496.0,,,656.0,,,,,0.28032,1.3034879999999998,,,,1.5838079999999999,GAB
Africa,Malawi,102.1,,,,351.0,103.0,,,,556.1,0.14310335999999999,,,,0.614952,,0.270684,,,1.02873936,MWI
Europe,Malta,3.0,,,,,190.0,358.0,,,551.0,0.0031536,,,,,1.411236,0.549252,,,1.9636415999999999,MLT
Africa,Madagascar,49.8,,,120.0,91.0,287.0,,,,547.8,0.06979967999999999,,,0.63072,0.159432,,0.754236,,,1.6141876800000001,MDG
Americas,Guadeloupe,54.0,41.0,,64.0,,292.0,,38.0,15.0,504.0,0.08987759999999999,0.1185228,,0.28032,,,0.8952719999999998,0.16644,0.09855,1.6489823999999997,GLP
Asia,Brunei,4.1,,,220.0,,,212.0,,,436.1,0.005387399999999999,,,1.0599600000000002,,0.7428480000000001,,,,1.8081954000000002,
Asia,Macao,,,,,,271.0,136.0,28.7,,435.7,,,,,,0.4765440000000001,0.949584,0.125706,,1.5518340000000002,MAC
Africa,Burkina Faso,213.5,,,,,202.0,,,,415.5,0.29924160000000005,,,,,,0.530856,,,0.8300976,BFA
Americas,Suriname,7.3,,,,180.0,222.0,,,,409.3,0.01215012,,,,0.70956,,0.6806519999999999,,,1.4023621199999998,SUR
Americas,Martinique,28.6,14.0,,,,324.0,,40.0,,406.6,0.047601840000000006,0.040471200000000006,,,,,0.9933839999999999,0.1752,,1.25665704,MTQ
Asia,Afghanistan,62.0,,,,194.0,,145.0,,,401.0,0.08146799999999998,,,,0.6797760000000002,0.50808,,,,1.2693240000000001,AFG
Africa,Réunion,125.3,6.8,,,,220.0,,41.0,,393.1,0.17562047999999997,0.014892,,,,,0.57816,0.14366400000000004,,0.91233648,REU
